TLA,Journal,Primary Discipline,SPIN Major Disciplines Combined,JCR Information,Other Relevant Indexing,Open Access (OA),APC (If OA),SAGE Path Status
TAB,Therapeutic Advances in Musculoskeletal Disease,Clinical Medicine,Clinical Medicine,Impact Factor,"ESCI, PMC, SCOPUS",Yes,2000 USD,Included
TAN,Therapeutic Advances in Neurological Disorders,Neurology,Clinical Medicine,Impact Factor,"Medline, SCOPUS",Yes,2000 USD,Included
OED,Therapeutic Advances in Ophthalmology,Clinical Medicine,Other Health Specialties,,"Medline, SCOPUS",Yes,None,Included
TPP,Therapeutic Advances in Psychopharmacology,Pharmacology & Toxicology,Clinical Medicine,Impact Factor,SCOPUS,Yes,2000 USD,Included
TAR,Therapeutic Advances in Respiratory Disease,Clinical Medicine,Clinical Medicine,Impact Factor,ESCI,Yes,2000 USD,Included
TAU,Therapeutic Advances in Urology,Clinical Medicine,Clinical Medicine,,PMC,Yes,1500 USD,Included
TAV,Therapeutic Advances in Vaccines and Immunotherapy,Clinical Medicine,Life & Biomedical Sciences,,,Yes,None,Included
TUI,Tobacco Use Insights,"Psychology, Psychiatry & Counseling",Other Health Specialties,,SCOPUS,Yes,1848 USD,Included
TOR,Toxicology Research and Application,Pharmacology & Toxicology,Life & Biomedical Sciences,,SCOPUS,Yes,1000 USD,Included
TOO,Translational Research in Oral Oncology,Clinical Medicine,Life & Biomedical Sciences,,SCOPUS,Yes,1000 USD,
TMX,"Traumaxilla, The",0,Other Health Specialties,,,Yes,,
TIA,Trends in Hearing,Clinical Medicine,Clinical Medicine,Impact Factor,"Medline, SCOPUS",Yes,1500 USD,Included
TRC,Tropical Conservation Science,Science & Society Studies,"Geography, Earth & Environmental Science",Impact Factor,"ESCI, PMC",Yes,750 USD,
TUB,Tumor Biology,Cancer / Oncology,Life & Biomedical Sciences,,"ESCI, SCOPUS",Yes,1500 USD,
VRT,Virology: Research and Treatment,Life & Biomedical Sciences,Clinical Medicine,,SCOPUS,Yes,1848 USD,Included
WHE,Women's Health,Clinical Medicine,Clinical Medicine,,SCOPUS,Yes,1500 USD,Included
CBA,A Current Bibliography on African Affairs,Area & Ethnic Studies,Area & Ethnic Studies,,PMC,No,,
AIP,AADE in Practice,Clinical Medicine,Clinical Medicine,,"Medline, SCOPUS",No,,Included
ACA,About Campus,Education,Cultural Studies,,,No,,
AAX,Abstracts in Anthropology,Anthropology & Archaeology,Anthropology & Archaeology,,,No,,
AFP,Academic Forensic Pathology,Clinical Medicine,Criminology & Criminal Justice,,,No,,
ACH,Accounting History,Business & Management,Business & Management,,"ESCI, SCOPUS",No,,
ACR,Acta Radiologica,Clinical Medicine,Clinical Medicine,Impact Factor,"ESCI, SCOPUS",No,,
ASJ,Acta Sociologica,Cultural Studies,Cultural Studies,Impact Factor,"Medline, PMC, SCOPUS",No,,
ARJ,Action Research,Research Methods & Evaluation,Business & Management,Impact Factor,"ESCI, PMC",No,,
ALH,Active Learning in Higher Education,Education,Education,Impact Factor,"ESCI, SCOPUS",No,,
AIM,Acupuncture in Medicine,"Orthopedics, Biomechanics & Sports Medicine",Clinical Medicine,Impact Factor,,No,,
ADB,Adaptive Behavior,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,"ESCI, SCOPUS",No,,
AAS,Administration & Society,Political Science & International Relations,Political Science & International Relations,Impact Factor,SCOPUS,No,,
ASQ,Administrative Science Quarterly,Business & Management,Business & Management,Impact Factor,"ESCI, SCOPUS",No,,
AAF,Adoption & Fostering,Sociology,Social Work & Social Policy,,"ESCI, SCOPUS",No,,
AEQ,Adult Education Quarterly,Education,Education,Impact Factor,SCOPUS,No,,
ALX,Adult Learning,Education,Education,,"ESCI, PMC, SCOPUS",No,,
ADR,Advances in Dental Research,Clinical Medicine,Clinical Medicine,,"ESCI, SCOPUS",No,,
ADH,Advances in Developing Human Resources,Business & Management,Business & Management,,SCOPUS,No,,
AMP,Advances in Methods and Practices in Psychological Science,"Psychology, Psychiatry & Counseling",Psychology,,"Medline, SCOPUS",No,,
ASE,Advances in Structural Engineering,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,"Medline, SCOPUS",No,,
AFF,Affilia,Sociology,Gender & Sexuality Studies,Impact Factor,SCOPUS,No,,
AGS,Agrarian South: Journal of Political Economy,Economics & Development Studies,Economics & Development Studies,,"Medline, SCOPUS",No,,
ALA,Alexandria,Vocational & Professional Studies,Vocational & Professional Studies,,,No,,
ALN,AlterNative,Area & Ethnic Studies,Area & Ethnic Studies,,SCOPUS,No,,
ALJ,Alternative Law Journal,Vocational & Professional Studies,Criminology & Criminal Justice,,"ESCI, SCOPUS",No,,
ALT,Alternatives,Political Science & International Relations,Cultural Studies,Impact Factor,,No,,
ATL,Alternatives to Laboratory Animals,0,General Biology,Impact Factor,"Medline, PMC, SCOPUS",No,,
ABS,American Behavioral Scientist,"Psychology, Psychiatry & Counseling",Sociology,Impact Factor,SCOPUS,No,,
AEX,American Economist,Economics & Development Studies,Economics & Development Studies,,,No,,
AER,American Educational Research Journal,Education,Education,Impact Factor,SCOPUS,No,,
ACS,American Journal of Cosmetic Surgery,Clinical Medicine,Clinical Medicine,,"Medline, SCOPUS",No,,Included
AJE,American Journal of Evaluation,Research Methods & Evaluation,Research Methods & Evaluation,Impact Factor,"Medline, SCOPUS",No,,
AHP,American Journal of Health Promotion,Public Health,Public Health,Impact Factor,ESCI,No,,
AJH,American Journal of Hospice and Palliative Medicine,Clinical Medicine,Clinical Medicine,Impact Factor,"ESCI, PMC, SCOPUS",No,,
JLM,American Journal of Law & Medicine,Criminology & Criminal Justice,Criminology & Criminal Justice,Impact Factor,SCOPUS,No,,
AJL,American Journal of Lifestyle Medicine,Clinical Medicine,Clinical Medicine,,"Medline, SCOPUS",No,,
AJM,American Journal of Medical Quality,Public Health,Public Health,Impact Factor,"Medline, SCOPUS",No,,Included
AJR,American Journal of Rhinology & Allergy,Public Health,Clinical Medicine,Impact Factor,"Medline, SCOPUS",No,,
AJS,"American Journal of Sports Medicine, The","Orthopedics, Biomechanics & Sports Medicine",Clinical Medicine,Impact Factor,,No,,
APR,American Politics Research,Political Science & International Relations,Political Science & International Relations,Impact Factor,SCOPUS,No,,
ARP,"American Review of Public Administration, The",Political Science & International Relations,Political Science & International Relations,Impact Factor,SCOPUS,No,,
ASR,American Sociological Review,Sociology,Sociology,Impact Factor,,No,,
AIC,Anaesthesia and Intensive Care,Other Health Specialties,Counseling & Psychotherapy,Impact Factor,"ESCI, Medline, SCOPUS",No,,
ANG,Angiology,Cardiology & Cardiovascular Medicine,Clinical Medicine,Impact Factor,"Medline, SCOPUS",No,,
ANM,Animation,Communication & Media Studies,Communication & Media Studies,,SCOPUS,No,,
ACB,Annals of Clinical Biochemistry,Life & Biomedical Sciences,Life & Biomedical Sciences,Impact Factor,"Medline, SCOPUS",No,,
AOR,"Annals of Otology, Rhinology, and Laryngology",Clinical Medicine,Clinical Medicine,Impact Factor,SCOPUS,No,,
AOP,Annals of Pharmacotherapy,Pharmacology & Toxicology,Clinical Medicine,Impact Factor,"Medline, SCOPUS",No,,
ANN,"ANNALS of the American Academy of Political and Social Science, The",Political Science & International Relations,Sociology,Impact Factor,"Medline, SCOPUS",No,,
ANI,Annals of the ICRP,Clinical Medicine,Clinical Medicine,,SCOPUS,No,,
ANR,"Anthropocene Review, The","Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",Impact Factor,SCOPUS,No,,
ANT,Anthropological Theory,Anthropology & Archaeology,Anthropology & Archaeology,Impact Factor,"Medline, SCOPUS",No,,
ABX,Antitrust Bulletin,Criminology & Criminal Justice,Vocational & Professional Studies,,,No,,
JWS,Antyajaa: Indian Journal of Women and Social Change,Sociology,Gender & Sexuality Studies,,"Medline, SCOPUS",No,,
APB,Applied Biosafety,Pharmacology & Toxicology,Clinical Medicine,,"Medline, SCOPUS",No,,
APM,Applied Psychological Measurement,"Psychology, Psychiatry & Counseling",Education,Impact Factor,"Medline, SCOPUS",No,,
ASP,Applied Spectroscopy,"Maths, Physics, Chemistry & Computing",Clinical Medicine,Impact Factor,SCOPUS,No,,
AFS,Armed Forces & Society,Political Science & International Relations,Sociology,Impact Factor,,No,,
ATH,Arthaniti,Economics & Development Studies,Economics & Development Studies,,"Medline, SCOPUS",No,,
AHH,Arts and Humanities in Higher Education,Arts & Humanities,History,,"Medline, SCOPUS",No,,
AME,Asia Pacific Media Educator,Communication & Media Studies,Communication & Media Studies,,SCOPUS,No,,
AMJ,Asian and Pacific Migration Journal,Area & Ethnic Studies,Sociology,Impact Factor,,No,,
AAN,Asian Cardiovascular and Thoracic Annals,Cardiology & Cardiovascular Medicine,Clinical Medicine,,"Medline, SCOPUS",No,,
ACP,Asian Journal of Comparative Politics,Political Science & International Relations,Political Science & International Relations,,SCOPUS,No,,
ALE,Asian Journal of Legal Education,Criminology & Criminal Justice,Vocational & Professional Studies,,SCOPUS,No,,
AJC,Asian Journal of Management Cases,Business & Management,Business & Management,,SCOPUS,No,,
ABR,Asia-Pacific Journal of Management Research and Innovation,Business & Management,Business & Management,,,No,,
APH,Asia-Pacific Journal of Public Health,Public Health,Public Health,Impact Factor,SCOPUS,No,,
JRD,Asia-Pacific Journal of Rural Development,Economics & Development Studies,Economics & Development Studies,,ESCI,No,,
ASM,Assessment,"Psychology, Psychiatry & Counseling","Psychology,Psychology",Impact Factor,"Medline, SCOPUS",No,,
AEI,Assessment for Effective Intervention,Education,Education,,"ESCI, SCOPUS",No,,
AEC,Australasian Journal of Early Childhood,Education,Sociology,Impact Factor,,No,,
APY,Australasian Psychiatry,"Psychology, Psychiatry & Counseling",Clinical Medicine,Impact Factor,SCOPUS,No,,
ANJ,Australian and New Zealand Journal of Criminology,Criminology & Criminal Justice,Sociology,Impact Factor,SCOPUS,No,,
ANP,Australian and New Zealand Journal of Psychiatry,"Psychology, Psychiatry & Counseling",Clinical Medicine,Impact Factor,SCOPUS,No,,
ACD,Australian Journal of Career Development,Education,Education,,ESCI,No,,
AED,Australian Journal of Education,Education,Education,Impact Factor,SCOPUS,No,,
AUM,Australian Journal of Management,Business & Management,Business & Management,Impact Factor,SCOPUS,No,,
AUT,Autism,Education,Clinical Medicine,Impact Factor,"ESCI, PMC, SCOPUS",No,,
AVB,Avian Biology Research,Other Health Specialties,General Biology,Impact Factor,SCOPUS,No,,
BMO,Behavior Modification,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,SCOPUS,No,,
BHD,Behavioral Disorders,Education,Education,Impact Factor,SCOPUS,No,,
BBX,Beyond Behavior,Education,Education,,ESCI,No,,
BTB,Biblical Theology Bulletin,"Religion, Theology and Biblical Studies",Anthropology & Archaeology,,SCOPUS,No,,
BRN,Biological Research For Nursing,Nursing,Clinical Medicine,Impact Factor,"ESCI, SCOPUS",No,,Included
BIO,Bioscope: South Asian Screen Studies,Communication & Media Studies,Area & Ethnic Studies,,SCOPUS,No,,
BMS,BMS - Bulletin de Methodologie Sociologique,Sociology,Research Methods & Evaluation,,SCOPUS,No,,
BOD,Body & Society,Anthropology & Archaeology,Anthropology & Archaeology,Impact Factor,"Medline, SCOPUS",No,,
BJM,British Journal of Music Therapy,"Psychology, Psychiatry & Counseling",Counseling & Psychotherapy,,SCOPUS,No,,
BJO,"British Journal of Occupational Therapy, The",Other Health Specialties,Clinical Medicine,Impact Factor,"ESCI, PMC, SCOPUS",No,,
BJP,British Journal of Pain,Clinical Medicine,Clinical Medicine,,"Medline, SCOPUS",No,,
BPI,British Journal of Politics and International Relations,Political Science & International Relations,Political Science & International Relations,Impact Factor,,No,,
JVI,British Journal of Visual Impairment,Aging & Gerontology,Aging & Gerontology,,,No,,Included
BJR,British Journalism Review,Communication & Media Studies,Communication & Media Studies,,SCOPUS,No,,
BUA,Building Acoustics,Materials Science & Engineering,Materials Science & Engineering,,SCOPUS,No,,
BSE,Building Services Engineering Research and Technology,Materials Science & Engineering,"Geography, Earth & Environmental Science",Impact Factor,"ESCI, SCOPUS",No,,
BST,"Bulletin of Science, Technology & Society",Sociology,Sociology,,SCOPUS,No,,
BAS,Business & Society,Business & Management,Business & Management,Impact Factor,"ESCI, PMC, SCOPUS",No,,
BCQ,Business and Professional Communication Quarterly,Business & Management,Communication & Media Studies,,SCOPUS,No,,
BIR,Business Information Review,Business & Management,Vocational & Professional Studies,,"PMC, SCOPUS",No,,
BPR,Business Perspectives and Research,Business & Management,Business & Management,,SCOPUS,No,,
CAE,Cahiers Élisabéthains,Arts & Humanities,Arts & Humanities,,"Medline, PMC, SCOPUS",No,,
CSA,Calcutta Statistical Association Bulletin,Research Methods & Evaluation,"Maths, Physics, Chemistry & Computing",,SCOPUS,No,,
CMR,California Management Review,Business & Management,Business & Management,Impact Factor,"ESCI, PMC",No,,
CAJ,Canadian Association of Radiologists Journal,0,#N/A,,"Medline, SCOPUS",No,,
CJN,Canadian Journal of Nursing Research,Nursing,Nursing,,SCOPUS,No,,Included
CJO,Canadian Journal of Occupational Therapy,Other Health Specialties,Clinical Medicine,Impact Factor,,No,,Included
CPA,Canadian Journal of Psychiatry,"Psychology, Psychiatry & Counseling",Clinical Medicine,Impact Factor,"ESCI, PMC, SCOPUS",No,,
CJS,Canadian Journal of School Psychology,"Psychology, Psychiatry & Counseling","Psychology,Psychology",Impact Factor,"Medline, PMC, SCOPUS",No,,
CPH,Canadian Pharmacists Journal,Pharmacology & Toxicology,Clinical Medicine,,"Medline, SCOPUS",No,,Included
CNC,Capital and Class,Economics & Development Studies,Economics & Development Studies,,"Medline, SCOPUS",No,,
CDE,Career Development and Transition for Exceptional Individuals,Education,Education,,SCOPUS,No,,
CAR,Cartilage,"Orthopedics, Biomechanics & Sports Medicine",Clinical Medicine,Impact Factor,ESCI,No,,Included
CRP,Cellular Polymers,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,SCOPUS,No,,
CEP,Cephalalgia,Neurology,Clinical Medicine,Impact Factor,"ESCI, PMC",No,,
CLT,Child Language Teaching and Therapy,Language & Linguistics,Arts & Humanities,Impact Factor,SCOPUS,No,,
CMX,Child Maltreatment,Criminology & Criminal Justice,Interpersonal/Domestic Violence,Impact Factor,PMC,No,,
CHD,Childhood,Anthropology & Archaeology,Anthropology & Archaeology,Impact Factor,"ESCI, SCOPUS",No,,
CIN,China Information,Area & Ethnic Studies,Area & Ethnic Studies,Impact Factor,"PMC, SCOPUS",No,,
CHR,China Report,Area & Ethnic Studies,Area & Ethnic Studies,,SCOPUS,No,,
CHS,Chinese Journal of Sociology,Sociology,Sociology,,SCOPUS,No,,
CEJ,Christian Education Journal,"Religion, Theology and Biblical Studies",Education,,SCOPUS,No,,
CAL,Christianity & Literature,"Religion, Theology and Biblical Studies","Religion, Theology and Biblical Studies",,,No,,
CHI,Chronic Illness,Clinical Medicine,Clinical Medicine,,SCOPUS,No,,Included
CSE,"Citizenship, Social and Economics Education",Education,Economics & Development Studies,,"ESCI, SCOPUS",No,,Included
CPC,"Cleft Palate-Craniofacial Journal, The",Clinical Medicine,Psychology,Impact Factor,"Medline, SCOPUS",No,,
CLA,Clin-Alert,Pharmacology & Toxicology,Clinical Medicine,,,No,,
CCS,Clinical Case Studies,"Psychology, Psychiatry & Counseling","Psychology,Psychology",Impact Factor,SCOPUS,No,,
CCP,Clinical Child Psychology and Psychiatry,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,SCOPUS,No,,
EEG,Clinical EEG and Neuroscience,Neurology,Clinical Medicine,Impact Factor,,No,,Included
CET,Clinical Ethics,Clinical Medicine,Other Health Specialties,,SCOPUS,No,,Included
CNR,Clinical Nursing Research,Nursing,Nursing,Impact Factor,"Medline, SCOPUS",No,,Included
CPJ,Clinical Pediatrics,Clinical Medicine,Clinical Medicine,Impact Factor,SCOPUS,No,,
CPX,Clinical Psychological Science,"Psychology, Psychiatry & Counseling",Psychology,,"ESCI, PMC, SCOPUS",No,,
CRE,Clinical Rehabilitation,Neurology,Clinical Medicine,Impact Factor,SCOPUS,No,,
CTJ,Clinical Trials,Pharmacology & Toxicology,Clinical Medicine,Impact Factor,SCOPUS,No,,
CTR,Clothing and Textiles Research Journal,Business & Management,Materials Science & Engineering,Impact Factor,"ESCI, PMC",No,,
CJX,Collections,Sociology,Cultural Studies,,SCOPUS,No,,
CLW,Common Law World Review,Vocational & Professional Studies,Vocational & Professional Studies,,"ESCI, PMC, SCOPUS",No,,
COM,Communication and Sport,Communication & Media Studies,Communication & Media Studies,Impact Factor,SCOPUS,No,,
CTP,Communication and the Public,Communication & Media Studies,Communication & Media Studies,,SCOPUS,No,,
CDQ,Communication Disorders Quarterly,Education,Education,Impact Factor,SCOPUS,No,,
CRX,Communication Research,Communication & Media Studies,Communication & Media Studies,Impact Factor,SCOPUS,No,,
CRW,Community College Review,Education,Education,,"ESCI, SCOPUS",No,,
CPS,Comparative Political Studies,Political Science & International Relations,Political Science & International Relations,Impact Factor,"ESCI, SCOPUS",No,,
CBR,Compensation & Benefits Review,Business & Management,Business & Management,,"ESCI, SCOPUS",No,,
CCH,Competition and Change,Business & Management,Business & Management,,SCOPUS,No,,
CRN,Competition and Regulation in Network Industries,Business & Management,Research Methods & Evaluation,,"ESCI, SCOPUS",No,,
CER,Concurrent Engineering,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,"Medline, SCOPUS",No,,
CMP,Conflict Management and Peace Science,Political Science & International Relations,Political Science & International Relations,Impact Factor,,No,,
CDX,Contemporary Drug Problems,Criminology & Criminal Justice,Vocational & Professional Studies,,"Medline, SCOPUS",No,,
CED,Contemporary Education Dialogue,Education,Education,,SCOPUS,No,,
CIE,Contemporary Issues in Early Childhood,Education,Sociology,,SCOPUS,No,,Included
CME,Contemporary Review of the Middle East,Economics & Development Studies,Political Science & International Relations,,SCOPUS,No,,
CSX,Contemporary Sociology: A Journal of Reviews,Sociology,Sociology,Impact Factor,,No,,
CTX,Contexts,Sociology,Sociology,,,No,,
CIS,Contributions to Indian Sociology,Sociology,Sociology,Impact Factor,"ESCI, Medline",No,,
CON,Convergence,Communication & Media Studies,Communication & Media Studies,Impact Factor,Medline,No,,
CAC,Cooperation and Conflict,Political Science & International Relations,Political Science & International Relations,Impact Factor,,No,,
CQX,Cornell Hospitality Quarterly,Marketing & Hospitality,Business & Management,Impact Factor,"ESCI, SCOPUS",No,,
CAD,Crime & Delinquency,Criminology & Criminal Justice,Criminology & Criminal Justice,Impact Factor,SCOPUS,No,,
CMC,Crime Media Culture,Criminology & Criminal Justice,Sociology,Impact Factor,"ESCI, PMC",No,,
CJB,Criminal Justice and Behavior,Criminology & Criminal Justice,Psychology,Impact Factor,SCOPUS,No,,
CJP,Criminal Justice Policy Review,Criminology & Criminal Justice,Criminology & Criminal Justice,,"PMC, SCOPUS",No,,
CJR,Criminal Justice Review,Criminology & Criminal Justice,Criminology & Criminal Justice,,,No,,
CRJ,Criminology & Criminal Justice,Criminology & Criminal Justice,Criminology & Criminal Justice,Impact Factor,SCOPUS,No,,
CRR,Critical Research on Religion,"Religion, Theology and Biblical Studies",Arts & Humanities,,"ESCI, SCOPUS",No,,
CSP,Critical Social Policy,"Psychology, Psychiatry & Counseling",Social Work & Social Policy,Impact Factor,"ESCI, SCOPUS",No,,
CRS,Critical Sociology,Sociology,Social Work & Social Policy,Impact Factor,SCOPUS,No,,
CST,Critical Studies in Television,Communication & Media Studies,Communication & Media Studies,,"Medline, SCOPUS",No,,
COA,Critique of Anthropology,Anthropology & Archaeology,Sociology,Impact Factor,,No,,
CCR,Cross-Cultural Research,Sociology,Sociology,Impact Factor,SCOPUS,No,,
CDY,Cultural Dynamics,Anthropology & Archaeology,Sociology,,"Medline, SCOPUS",No,,
CGJ,Cultural Geographies,Cultural Studies,Sociology,Impact Factor,"ESCI, Medline, SCOPUS",No,,
CUS,Cultural Sociology,Sociology,Cultural Studies,Impact Factor,SCOPUS,No,,
CSC,Cultural Studies <=> Critical Methodologies,Cultural Studies,Cultural Studies,,SCOPUS,No,,
CAP,Culture & Psychology,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,,No,,
CDP,Current Directions in Psychological Science,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,SCOPUS,No,,
CSI,Current Sociology,Sociology,Sociology,Impact Factor,,No,,
CBI,Currents in Biblical Research,"Religion, Theology and Biblical Studies","Religion, Theology and Biblical Studies",,SCOPUS,No,,
DEM,Dementia,Aging & Gerontology,Aging & Gerontology,Impact Factor,"Medline, SCOPUS",No,,
DCW,Developmental Child Welfare,"Psychology, Psychiatry & Counseling",Clinical Medicine,,"ESCI, PMC",No,,
DHG,Dialogues in Human Geography,"Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",Impact Factor,SCOPUS,No,,
DIO,Diogenes,Arts & Humanities,Arts & Humanities,,"ESCI, SCOPUS",No,,
DCM,Discourse & Communication,Arts & Humanities,Arts & Humanities,Impact Factor,"Medline, SCOPUS",No,,
DAS,Discourse & Society,Language & Linguistics,Arts & Humanities,Impact Factor,,No,,
DIS,Discourse Studies,Language & Linguistics,Arts & Humanities,Impact Factor,"PMC, SCOPUS",No,,
DRT,Dramatherapy,"Psychology, Psychiatry & Counseling",Counseling & Psychotherapy,,"Medline, PMC, SCOPUS",No,,
DSP,"Drug Science, Policy and Law",Pharmacology & Toxicology,Clinical Medicine,,"Medline, SCOPUS",No,,
EEP,East European Politics and Societies,Political Science & International Relations,History,Impact Factor,SCOPUS,No,,
EID,Economic and Industrial Democracy,Business & Management,Business & Management,Impact Factor,SCOPUS,No,,
ELR,"Economic and Labour Relations Review, The",Economics & Development Studies,Economics & Development Studies,Impact Factor,"ESCI, SCOPUS",No,,
EDQ,Economic Development Quarterly,Economics & Development Studies,Economics & Development Studies,Impact Factor,,No,,
EUS,Education and Urban Society,Education,Education,Impact Factor,SCOPUS,No,,Included
ESJ,"Education, Citizenship and Social Justice",Education,Education,,SCOPUS,No,,Included
EAQ,Educational Administration Quarterly,Education,Education,Impact Factor,"ESCI, SCOPUS",No,,
EPM,Educational and Psychological Measurement,Research Methods & Evaluation,Education,Impact Factor,SCOPUS,No,,
EPA,Educational Evaluation and Policy Analysis,Education,Education,Impact Factor,SCOPUS,No,,
EMA,Educational Management Administration & Leadership,Education,Education,Impact Factor,,No,,
EPX,Educational Policy,Education,Education,Impact Factor,"ESCI, SCOPUS",No,,
EDR,Educational Researcher,Education,Education,Impact Factor,"Medline, SCOPUS",No,,
LDM,E-Learning and Digital Media,Education,Education,,"ESCI, SCOPUS",No,,Included
ENX,Electronic News,Communication & Media Studies,Communication & Media Studies,,SCOPUS,No,,
EAX,Emerging Adulthood,"Psychology, Psychiatry & Counseling",Psychology,,,No,,
EEC,Emerging Economies Cases Journal,Economics & Development Studies,Business & Management,,"ESCI, SCOPUS",No,,
EMI,Emerging Economy Studies,Business & Management,Business & Management,,"ESCI, SCOPUS",No,,
EMR,Emotion Review,"Psychology, Psychiatry & Counseling",Anthropology & Archaeology,Impact Factor,"ESCI, PMC, SCOPUS",No,,
ART,Empirical Studies of the Arts,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,SCOPUS,No,,
EAE,Energy & Environment,"Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",Impact Factor,SCOPUS,No,,
EEX,Entrepreneurship Education and Pedagogy,Business & Management,Business & Management,,"Medline, SCOPUS",No,,
ETP,"Entrepreneurship, Theory & Practice",Business & Management,Business & Management,Impact Factor,SCOPUS,No,,
EAB,Environment and Behavior,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,Medline,No,,
EPN,Environment and Planning A,"Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",Impact Factor,"ESCI, SCOPUS",No,,
EPB,Environment and Planning B,"Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",Impact Factor,SCOPUS,No,,
EPC,Environment and Planning C,"Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",Impact Factor,"ESCI, SCOPUS",No,,
EPD,Environment and Planning D,"Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",Impact Factor,"PMC, SCOPUS",No,,
ENE,Environment and Planning E,"Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",,PMC,No,,
EAU,Environment and Urbanization,Economics & Development Studies,Economics & Development Studies,Impact Factor,SCOPUS,No,,
EUA,Environment and Urbanization Asia,"Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",,SCOPUS,No,,
ELJ,Environmental Law Review,Vocational & Professional Studies,Vocational & Professional Studies,,SCOPUS,No,,
ERG,Ergonomics in Design: The Quarterly of Human Factors Applications,"Psychology, Psychiatry & Counseling",Materials Science & Engineering,,"ESCI, SCOPUS",No,,
ETN,Ethnicities,Area & Ethnic Studies,Area & Ethnic Studies,Impact Factor,SCOPUS,No,,
ETH,Ethnography,Anthropology & Archaeology,Anthropology & Archaeology,Impact Factor,"ESCI, SCOPUS",No,,
EER,European Educational Research Journal,Education,Education,,"ESCI, PMC",No,,
ACC,European Heart Journal: Acute Cardiovascular Care,Cardiology & Cardiovascular Medicine,Clinical Medicine,Impact Factor,"ESCI, Medline, SCOPUS",No,,
EHQ,European History Quarterly,Arts & Humanities,Arts & Humanities,Impact Factor,SCOPUS,No,,
CNU,European Journal of Cardiovascular Nursing,Cardiology & Cardiovascular Medicine,Nursing,Impact Factor,PMC,No,,
EJC,European Journal of Communication,Communication & Media Studies,Communication & Media Studies,Impact Factor,"Medline, SCOPUS",No,,
EUC,European Journal of Criminology,Criminology & Criminal Justice,Criminology & Criminal Justice,Impact Factor,,No,,
ECS,European Journal of Cultural Studies,Cultural Studies,Sociology,Impact Factor,SCOPUS,No,,
EJD,European Journal of Industrial Relations,Business & Management,Business & Management,Impact Factor,"ESCI, SCOPUS",No,,
EJT,European Journal of International Relations,Political Science & International Relations,Political Science & International Relations,Impact Factor,,No,,
EMS,European Journal of Mass Spectrometry,Materials Science & Engineering,"Maths, Physics, Chemistry & Computing",Impact Factor,,No,,
EJO,European Journal of Ophthalmology,Clinical Medicine,Clinical Medicine,Impact Factor,SCOPUS,No,,
EPT,European Journal of Political Theory,Political Science & International Relations,Political Science & International Relations,,"Medline, SCOPUS",No,,
CPR,European Journal of Preventive Cardiology,Cardiology & Cardiovascular Medicine,Public Health,Impact Factor,"Medline, SCOPUS",No,,
EJP,European Journal of Probation,Criminology & Criminal Justice,Criminology & Criminal Justice,,SCOPUS,No,,
EJS,European Journal of Social Security,Political Science & International Relations,Political Science & International Relations,,SCOPUS,No,,
EST,European Journal of Social Theory,Cultural Studies,Cultural Studies,Impact Factor,,No,,
EJW,European Journal of Women's Studies,Sociology,Gender & Sexuality Studies,Impact Factor,SCOPUS,No,,
ELL,European Labour Law Journal,Business & Management,Vocational & Professional Studies,,SCOPUS,No,,
EPE,European Physical Education Review,Education,Cultural Studies,Impact Factor,SCOPUS,No,,
ESO,European Stroke Journal,Neurology,Clinical Medicine,,SCOPUS,No,,Included
EUP,European Union Politics,Political Science & International Relations,Political Science & International Relations,Impact Factor,"PMC, SCOPUS",No,,
EUR,European Urban and Regional Studies,"Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",Impact Factor,SCOPUS,No,,
EVI,Evaluation,Research Methods & Evaluation,Research Methods & Evaluation,Impact Factor,SCOPUS,No,,
EHP,Evaluation & the Health Professions,Public Health,Public Health,Impact Factor,,No,,
EVJ,Evaluation Journal of Australasia,Political Science & International Relations,Business & Management,,"Medline, SCOPUS",No,,
ERX,Evaluation Review,Research Methods & Evaluation,Research Methods & Evaluation,Impact Factor,SCOPUS,No,,
ECX,Exceptional Children,Education,Education,Impact Factor,SCOPUS,No,,
EBM,Experimental Biology and Medicine,Life & Biomedical Sciences,Materials Science & Engineering,Impact Factor,"ESCI, SCOPUS",No,,Included
